name
dashboard
kas
create-kas
edit-kas
delete-kas
infaq
create-infaq
edit-infaq
delete-infaq
masjid
create-masjid
edit-masjid
delete-masjid
informasi
create-informasi
edit-informasi
delete-informasi
role
create-role
edit-role
delete-role
permission
create-permission
edit-permission
delete-permission
user
create-user
edit-user
delete-user
