name
dashboard
masjid
create-masjid
edit-masjid
delete-masjid
product
create-product
edit-product
delete-product
artikel
create-artikel
edit-artikel
delete-artikel
category-artikel
create-category-artikel
edit-category-artikel
delete-category-artikel
role
create-role
edit-role
delete-role
permission
create-permission
edit-permission
delete-permission
user
create-user
edit-user
delete-user
